,date,county,state_name,fips,cases,deaths,county_code,state,locality,locality_original,SD,LD,NESC,PC,GS,CPV
694,2020-03-09,Nassau,New York,36059.0,17,0,59,NY,nassau county,nassau_county,0,0,0,0,0,0
695,2020-03-10,Nassau,New York,36059.0,19,0,59,NY,nassau county,nassau_county,0,0,0,0,0,0
696,2020-03-11,Nassau,New York,36059.0,28,0,59,NY,nassau county,nassau_county,0,0,0,0,0,0
697,2020-03-12,Nassau,New York,36059.0,41,0,59,NY,nassau county,nassau_county,0,0,0,0,0,0
698,2020-03-13,Nassau,New York,36059.0,51,0,59,NY,nassau county,nassau_county,0,0,0,0,0,0
699,2020-03-14,Nassau,New York,36059.0,79,0,59,NY,nassau county,nassau_county,0,0,0,0,0,0
700,2020-03-15,Nassau,New York,36059.0,98,0,59,NY,nassau county,nassau_county,0,0,0,0,0,0
701,2020-03-16,Nassau,New York,36059.0,109,0,59,NY,nassau county,nassau_county,0,0,0,1,5,2
702,2020-03-17,Nassau,New York,36059.0,131,2,59,NY,nassau county,nassau_county,0,0,0,1,5,2
703,2020-03-18,Nassau,New York,36059.0,183,2,59,NY,nassau county,nassau_county,0,0,0,1,5,2
704,2020-03-19,Nassau,New York,36059.0,382,3,59,NY,nassau county,nassau_county,0,0,0,1,5,2
705,2020-03-20,Nassau,New York,36059.0,754,4,59,NY,nassau county,nassau_county,1,0,1,1,5,2
706,2020-03-21,Nassau,New York,36059.0,1234,7,59,NY,nassau county,nassau_county,1,0,1,1,5,2
707,2020-03-22,Nassau,New York,36059.0,1900,7,59,NY,nassau county,nassau_county,1,0,1,1,5,2
708,2020-03-23,Nassau,New York,36059.0,2442,9,59,NY,nassau county,nassau_county,1,0,1,1,5,2
709,2020-03-24,Nassau,New York,36059.0,2869,9,59,NY,nassau county,nassau_county,1,0,1,1,5,2
710,2020-03-25,Nassau,New York,36059.0,3285,17,59,NY,nassau county,nassau_county,1,0,1,1,5,2
711,2020-03-26,Nassau,New York,36059.0,3914,19,59,NY,nassau county,nassau_county,1,0,1,1,5,2
712,2020-03-27,Nassau,New York,36059.0,4657,27,59,NY,nassau county,nassau_county,1,0,1,1,5,2
713,2020-03-01,New York City,New York,,1,0,-1,NY,new york city,new_york_city,0,0,0,0,0,0
714,2020-03-02,New York City,New York,,1,0,-1,NY,new york city,new_york_city,0,0,0,0,0,0
715,2020-03-03,New York City,New York,,2,0,-1,NY,new york city,new_york_city,0,0,0,0,0,0
716,2020-03-04,New York City,New York,,2,0,-1,NY,new york city,new_york_city,0,0,0,0,0,0
717,2020-03-05,New York City,New York,,4,0,-1,NY,new york city,new_york_city,0,0,0,0,0,0
718,2020-03-06,New York City,New York,,5,0,-1,NY,new york city,new_york_city,0,0,0,0,0,0
719,2020-03-07,New York City,New York,,12,0,-1,NY,new york city,new_york_city,0,0,0,0,0,0
720,2020-03-08,New York City,New York,,14,0,-1,NY,new york city,new_york_city,0,0,0,0,0,0
721,2020-03-09,New York City,New York,,20,0,-1,NY,new york city,new_york_city,0,0,0,0,0,0
722,2020-03-10,New York City,New York,,37,0,-1,NY,new york city,new_york_city,0,0,0,0,0,0
723,2020-03-11,New York City,New York,,52,0,-1,NY,new york city,new_york_city,0,0,0,0,0,0
724,2020-03-12,New York City,New York,,96,0,-1,NY,new york city,new_york_city,0,0,0,0,2,0
725,2020-03-13,New York City,New York,,155,0,-1,NY,new york city,new_york_city,0,0,0,0,2,0
726,2020-03-14,New York City,New York,,269,1,-1,NY,new york city,new_york_city,0,0,0,0,2,0
727,2020-03-15,New York City,New York,,330,5,-1,NY,new york city,new_york_city,0,0,0,0,2,0
728,2020-03-16,New York City,New York,,464,7,-1,NY,new york city,new_york_city,0,0,0,1,2,0
729,2020-03-17,New York City,New York,,645,10,-1,NY,new york city,new_york_city,0,0,0,1,2,2
730,2020-03-18,New York City,New York,,1339,20,-1,NY,new york city,new_york_city,0,0,0,1,2,2
731,2020-03-19,New York City,New York,,2468,22,-1,NY,new york city,new_york_city,0,0,0,1,2,2
732,2020-03-20,New York City,New York,,4408,43,-1,NY,new york city,new_york_city,1,0,0,1,2,2
733,2020-03-21,New York City,New York,,6211,60,-1,NY,new york city,new_york_city,1,0,0,1,2,2
734,2020-03-22,New York City,New York,,9045,99,-1,NY,new york city,new_york_city,1,0,1,1,2,2
735,2020-03-23,New York City,New York,,12305,131,-1,NY,new york city,new_york_city,1,0,1,1,2,2
